gene_id gene_name gene_type chr logFC AveExpr t P.Value adj.P.Val z.std qvalue
ENSG00000000003.14 TSPAN6 protein_coding chrX 0.105675357819328 5.89887931257184 2.33286847229118 0.020498817616347 0.0968785010717293 2.31709022073491 0.0530736556529173
ENSG00000000419.12 DPM1 protein_coding chr20 -0.0167441339254244 5.42344038167272 -0.57319359473133 0.567052109862799 0.748716076945252 -0.572398384799793 0.410174587860044
ENSG00000000457.13 SCYL3 protein_coding chr1 -0.00525035395418222 4.31796917383876 -0.207740224269156 0.835609874992796 0.921053337804951 -0.207512188242477 0.504587366111665
ENSG00000000460.16 C1orf112 protein_coding chr1 0.132070267636154 4.04394503246372 2.57538737393226 0.010641104833787 0.0637773358489667 2.55426887932372 0.034939602944541
ENSG00000000938.12 FGR protein_coding chr1 0.215403950206446 -0.920230149120862 1.93955893228372 0.0538898938806727 0.179368214439563 1.92772055572209 0.0982645968190151
ENSG00000000971.15 CFH protein_coding chr1 -0.134508487695601 1.77797552508634 -0.964282958496566 0.335945690184185 0.557293971266174 -0.962206887281605 0.3053064199097
ENSG00000001036.13 FUCA2 protein_coding chr6 0.0629512582740422 4.01403132397724 1.80953652268648 0.0717006731195117 0.214967771289715 1.80101400152954 0.117767361630193
ENSG00000001084.11 GCLC protein_coding chr6 -0.0294699373721894 4.61491826193342 -0.9326432949823 0.352090461467338 0.57264278746867 -0.930542129929786 0.313715073809166
ENSG00000001167.14 NFYA protein_coding chr6 0.0565621412196479 6.17192567760828 1.27668521579943 0.20316973985801 0.410440623679205 1.27257261914475 0.224854679687809
ENSG00000001460.17 STPG1 protein_coding chr1 -0.274005242884917 2.36764235025741 -3.57850080528832 0.000418225423008505 0.0097313376497646 -3.52830787324336 0.00533118966284866
ENSG00000001461.16 NIPAL3 protein_coding chr1 0.0155562243034899 3.71547674407506 0.299538648327807 0.764857392414187 0.879386299607277 0.299108327696291 0.481760608751506
ENSG00000001497.16 LAS1L protein_coding chrX 0.0561177406858429 6.15753188594427 2.17095902439702 0.0309287573037241 0.124911780745779 2.15798809634723 0.0684313316675457
ENSG00000001561.6 ENPP4 protein_coding chr6 -0.118650448599522 3.61957791538605 -2.78557208951982 0.00587601600644342 0.0443825668685653 -2.75462098871396 0.0243144252328053
ENSG00000001617.11 SEMA3F protein_coding chr3 0.193825591868189 4.46437077579958 2.79265798140853 0.00565244611764489 0.0435146783706461 2.76728992928116 0.0238389635485913
ENSG00000001626.14 CFTR protein_coding chr7 0.0824655678760078 1.94456699761158 1.07900132469268 0.281825850075622 0.503865258143729 1.07622677012304 0.276036178412676
ENSG00000001629.9 ANKIB1 protein_coding chr7 -0.0767211918742432 6.44693908339995 -2.99997947208198 0.00302001485035263 0.0295525230967285 -2.96569330931994 0.0161899742167703
ENSG00000001630.15 CYP51A1 protein_coding chr7 -0.0113850174060761 7.24420765339136 -0.285381121539933 0.775599465872727 0.885567802173001 -0.285058314441791 0.485147066375865
ENSG00000001631.15 KRIT1 protein_coding chr7 0.0502506906794569 5.35150825012408 1.86077277306135 0.0640440085745228 0.199904146149398 1.85187337122203 0.109514946029854
ENSG00000002016.17 RAD52 protein_coding chr12 0.0224426593309912 4.4391298027941 0.590765211053895 0.555234064845876 0.741125554576785 0.5899352434366 0.406016216642972
ENSG00000002330.13 BAD protein_coding chr11 0.238048526063302 3.95854543193734 2.77090615259919 0.00603595307640388 0.0450115484706935 2.74582184644746 0.0246590048102562
ENSG00000002549.12 LAP3 protein_coding chr4 0.0214574402063068 4.3119529273422 0.60939776674204 0.542886755299515 0.732807671687153 0.608453473198845 0.401459370207882
ENSG00000002586.19 CD99 protein_coding chrX 0.374153437804091 4.64787875895783 5.0399733368967 9.38793726949798e-07 0.00107164628608581 4.90405251607142 0.000587087799049805
ENSG00000002587.9 HS3ST1 protein_coding chr4 0.181870890848843 2.59928557701399 1.45470180705547 0.147108041387763 0.337742575730456 1.44982243565716 0.18502797798632
ENSG00000002745.12 WNT16 protein_coding chr7 0.188375983813433 -1.57071549122066 1.00543943028993 0.315958775347168 0.537709939030436 1.00279708551369 0.294577556728739
ENSG00000002746.14 HECW1 protein_coding chr7 0.0303245050426788 5.85536334260076 0.476673157683677 0.63403477577513 0.79793430555181 0.476055588449428 0.43713816892306
ENSG00000002822.15 MAD1L1 protein_coding chr7 0.135179723229526 3.65239768955895 2.57567837844999 0.0106040811939529 0.0637181481808111 2.55548210996646 0.0349071777327155
