gene_id gene_name gene_type chr logFC AveExpr t P.Value adj.P.Val B qvalue
ENSG00000000003.14 TSPAN6 protein_coding chrX -0.0779652945423884 5.89887931257184 -0.656549978613205 0.51208825659157 0.675902776440908 -6.51385988695251 0.318111053021299
ENSG00000000419.12 DPM1 protein_coding chr20 -0.199460243347821 5.42344038167272 -2.68402394573889 0.00777173476727021 0.036650960158152 -3.1827000991766 0.0172496340250952
ENSG00000000457.13 SCYL3 protein_coding chr1 0.0727008157571661 4.31796917383876 0.997471981510507 0.319522385956887 0.498375474434234 -6.0562677183906 0.234558508262207
ENSG00000000460.16 C1orf112 protein_coding chr1 -0.249884702060078 4.04394503246372 -2.10129204933898 0.0366399707514775 0.11294652516915 -4.36479408677455 0.0531578494851711
ENSG00000000938.12 FGR protein_coding chr1 1.06280913681337 -0.920230149120862 3.4602207825272 0.000636807981696249 0.00567648572348063 -0.507747531899262 0.0026716162647908
ENSG00000000971.15 CFH protein_coding chr1 0.517006702314622 1.77797552508634 0.980635657144843 0.32774253836905 0.506880065926109 -5.70471582867041 0.238561161675235
ENSG00000001036.13 FUCA2 protein_coding chr6 -0.09968013916385 4.01403132397724 -0.983808751700263 0.326182841046775 0.50517757515149 -6.03757793445947 0.237759890912708
ENSG00000001084.11 GCLC protein_coding chr6 -0.108691426725451 4.61491826193342 -1.38212086732728 0.16819693023539 0.32516965527013 -5.664580711949 0.153039852851673
ENSG00000001167.14 NFYA protein_coding chr6 0.304885574791996 6.17192567760828 2.78354269451861 0.00579737805125588 0.0294449299293025 -2.95227470126365 0.0138581434970147
ENSG00000001460.17 STPG1 protein_coding chr1 -0.0646277207190382 2.36764235025741 -0.411769984283671 0.680869054110912 0.806226903330135 -6.14822450240255 0.379447604199733
ENSG00000001461.16 NIPAL3 protein_coding chr1 0.178442153261942 3.71547674407506 1.52551871376324 0.128423264033427 0.269644459731171 -5.2819673955368 0.126907132233005
ENSG00000001497.16 LAS1L protein_coding chrX 0.007502338155493 6.15753188594427 0.117396770866027 0.906642098140518 0.94944077982444 -6.7360533440269 0.446850666661999
ENSG00000001561.6 ENPP4 protein_coding chr6 0.275060747546706 3.61957791538605 2.01486600954642 0.045014306134953 0.130365338418458 -4.39958183737123 0.0613559472268263
ENSG00000001617.11 SEMA3F protein_coding chr3 -0.0172804573802011 4.46437077579958 -0.108593531706934 0.913614027345779 0.953445344256997 -6.57387574866949 0.448735399574682
ENSG00000001626.14 CFTR protein_coding chr7 0.53344096920748 1.94456699761158 2.09460994659158 0.0372360307920568 0.114101990632434 -4.00592726172393 0.0537016648800278
ENSG00000001629.9 ANKIB1 protein_coding chr7 0.198841591488978 6.44693908339995 2.7545064080172 0.00632030462468776 0.0314746524340543 -3.04602181141544 0.01481342462003
ENSG00000001630.15 CYP51A1 protein_coding chr7 -0.339856797572014 7.24420765339136 -3.01196268678339 0.00286833295416425 0.0175609373147894 -2.33969006550923 0.00826498788873828
ENSG00000001631.15 KRIT1 protein_coding chr7 0.158173126317701 5.35150825012408 2.42160657269529 0.0161811561623082 0.0622031612053464 -3.8201979164286 0.0292756795829145
ENSG00000002016.17 RAD52 protein_coding chr12 0.104907630443949 4.4391298027941 1.04536015304326 0.296889739048983 0.475574378283811 -6.03243319041008 0.22382725968731
ENSG00000002330.13 BAD protein_coding chr11 0.0182784107624131 3.95854543193734 0.0963005930078514 0.923360788448387 0.959013188737931 -6.51365199963456 0.451355884254765
