gene_id gene_name gene_type chr size logFC AveExpr t P.Value adj.P.Val z.std qvalue
ENSG00000000003.14 TSPAN6 protein_coding chrX 4535 -0.912458167059411 5.89887931257184 -13.3360941103329 3.61954237498113e-26 1.65039138992797e-25 -10.5817955799356 1.56653053134167e-26
ENSG00000000419.12 DPM1 protein_coding chr20 1207 -0.151032871502383 5.42344038167272 -3.156854061182 0.0019179778376312 0.0025249074463405 -3.10264774565617 0.00023966100572525
ENSG00000000457.13 SCYL3 protein_coding chr1 6883 -0.367860128900514 4.31796917383876 -8.79484137397058 2.18233915362733e-15 5.46018776306701e-15 -7.93051786295116 5.1827408273597e-16
ENSG00000000460.16 C1orf112 protein_coding chr1 5967 -1.956160232707 4.04394503246372 -35.573868428421 5.28347826501423e-82 1.0948610136466e-79 -19.1814991965928 1.03922815879931e-80
ENSG00000000938.12 FGR protein_coding chr1 3474 1.47963297761809 -0.920230149120862 8.43722840546589 3.81245794702035e-13 8.51866475692204e-13 7.26205759267725 8.08580831760459e-14
ENSG00000000971.15 CFH protein_coding chr1 8145 -0.534738013479537 1.77797552508634 -2.73956220595628 0.00720485652295775 0.00909983814680753 -2.68722424380839 0.000863745071274499
ENSG00000001036.13 FUCA2 protein_coding chr6 2793 -0.325052105293006 4.01403132397724 -5.40313300666691 4.4215308070843e-07 7.19652962816327e-07 -5.04985174496236 6.83085445732643e-08
ENSG00000001084.11 GCLC protein_coding chr6 8646 -0.138933050433643 4.61491826193342 -2.60373423689246 0.0104833587961329 0.0130978778433171 -2.55946441511115 0.00124323391787904
ENSG00000001167.14 NFYA protein_coding chr6 3811 -0.39101268004756 6.17192567760828 -5.91876711538888 5.93253114509647e-08 1.00952182001477e-07 -5.42082289640513 9.58225280839455e-09
ENSG00000001460.17 STPG1 protein_coding chr1 8511 0.693645773024441 2.36764235025741 5.66496649071242 6.86388810266435e-08 1.16541859495209e-07 5.39469804938949 1.10620051820885e-08
ENSG00000001461.16 NIPAL3 protein_coding chr1 9404 0.432436757369612 3.71547674407506 5.49758290985015 2.76810617492593e-07 4.54826699301729e-07 5.13858795908833 4.3171572226671e-08
ENSG00000001497.16 LAS1L protein_coding chrX 5589 0.109632584875173 6.15753188594427 2.12523533027099 0.0352485537393421 0.0421957336934057 2.10549141617251 0.00400516541267021
ENSG00000001561.6 ENPP4 protein_coding chr6 4651 0.710537912635266 3.61957791538605 8.97707791580242 5.02077049992641e-15 1.23186866674612e-14 7.82639028954436 1.16927408179533e-15
ENSG00000001617.11 SEMA3F protein_coding chr3 4826 1.0976036377808 4.46437077579958 9.95516427087282 1.59641132294448e-16 4.23226806778208e-16 8.24906309879768 4.01721505908509e-17
ENSG00000001626.14 CFTR protein_coding chr7 8517 -1.35244869976837 1.94456699761158 -8.17710976048957 1.19279697590596e-13 2.730334754205e-13 -7.41757993877749 2.59159904695822e-14
ENSG00000001629.9 ANKIB1 protein_coding chr7 7130 0.49562760383893 6.44693908339995 10.9474611367016 1.03727213654273e-18 3.094074752424e-18 8.83101808526741 2.93685643024176e-19
ENSG00000001630.15 CYP51A1 protein_coding chr7 4074 0.511323412788469 7.24420765339136 6.47177026809628 8.40591805279102e-10 1.58084390969316e-09 6.13706654644895 1.50051694703033e-10
ENSG00000001631.15 KRIT1 protein_coding chr7 6204 -0.84903333157984 5.35150825012408 -26.3241020408866 9.00925136769995e-46 1.86254640364633e-44 -14.2011723407227 1.76790537393674e-45
ENSG00000002016.17 RAD52 protein_coding chr12 4190 -0.68097656562073 4.4391298027941 -9.33198475048139 2.29235070080117e-17 6.37773894233325e-17 -8.47793037656732 6.05366874491982e-18
ENSG00000002330.13 BAD protein_coding chr11 1708 2.62451759246881 3.95854543193734 26.3690143547713 3.5461729387704e-53 1.53470000352584e-51 15.3499211241996 1.45671773777147e-52
ENSG00000002549.12 LAP3 protein_coding chr4 3785 0.129564644318053 4.3119529273422 2.24689280944491 0.0272160511628393 0.0328998370175178 2.20840503455387 0.00312281071499989
ENSG00000002586.19 CD99 protein_coding chrX 4912 -0.636799767545967 4.64787875895783 -3.98623121192415 9.26201586425028e-05 0.000132732200335941 -3.90915334789327 1.25987717572547e-05
ENSG00000002587.9 HS3ST1 protein_coding chr4 8166 2.70042313232498 2.59928557701399 14.6937940156659 1.96307814354493e-23 7.64992442929213e-23 9.97489558844662 7.26121104004644e-24
ENSG00000002745.12 WNT16 protein_coding chr7 3261 0.559281219505534 -1.57071549122066 1.45465914866241 0.147973239268522 0.166766948395659 1.4467275711628 0.0158293067859425
ENSG00000002746.14 HECW1 protein_coding chr7 13965 -0.106479755454184 5.85536334260076 -0.942858865877192 0.349000092148933 0.376349187162441 -0.936530547489036 0.0357225865169663
